CODIGO;TIPO_UNIDAD;TECNOLOGIA;regime;categoria;DESCRIPCION;AGENTE_PROPIETARIO;ZONA_FRONTERA
AMRE013;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 13;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE014;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 14;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE015;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 15;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE017;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 17;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE018;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 18;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE019;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 19;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE027;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 27;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE029;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 29;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE030;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 30;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE031;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 31;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
AMRE032;GENERACION;RE Mercado Térmica no Renovab.;PRE;TERMICA_NREN_ES;AME VENTA REG. ESP. 32;FACTOR ENERGIA ESPAÑA SAU;ZONA ESPAÑOLA
